2019-08-18 16:14:49,559 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 3.6731694640731125e-24
2019-08-18 16:14:49,560 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,610 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 7.500607271936334e-09
2019-08-18 16:14:49,612 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 3.7078697262875084e-17
2019-08-18 16:14:49,614 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 2.4663638310600928e-20
2019-08-18 16:14:49,615 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,630 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 2.8831017909535267e-10
2019-08-18 16:14:49,631 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 3.8224940004031436e-20
2019-08-18 16:14:49,632 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 3.1203160230698596e-22
2019-08-18 16:14:49,634 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,645 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.5252689837551244e-11
2019-08-18 16:14:49,646 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 1.9186061111761932e-22
2019-08-18 16:14:49,647 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 6.093212936598312e-24
2019-08-18 16:14:49,649 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,678 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 3.738067481674457e-11
2019-08-18 16:14:49,680 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 5.399080672489988e-22
2019-08-18 16:14:49,682 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 5.9064672043793034e-24
2019-08-18 16:14:49,684 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,786 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 3.718265288842541e-10
2019-08-18 16:14:49,788 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 6.992396204806003e-20
2019-08-18 16:14:49,790 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 3.8105985428765557e-22
2019-08-18 16:14:49,791 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,826 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 2.2170973794798384e-11
2019-08-18 16:14:49,828 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 4.6329055014421775e-22
2019-08-18 16:14:49,830 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 6.836142084897652e-24
2019-08-18 16:14:49,832 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,852 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.791496797849705e-11
2019-08-18 16:14:49,853 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 1.2307146024356149e-22
2019-08-18 16:14:49,856 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 6.411364252686877e-24
2019-08-18 16:14:49,858 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,879 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 6.366462912410498e-12
2019-08-18 16:14:49,881 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 2.39882377640378e-23
2019-08-18 16:14:49,883 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 2.0521296864138383e-24
2019-08-18 16:14:49,885 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,923 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.4532860207239473e-10
2019-08-18 16:14:49,924 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 6.530252584843157e-21
2019-08-18 16:14:49,927 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 5.784786888623747e-23
2019-08-18 16:14:49,930 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:49,977 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.3585610405092482e-10
2019-08-18 16:14:49,979 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 5.582948245121225e-21
2019-08-18 16:14:49,981 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 9.143411949712531e-23
2019-08-18 16:14:49,983 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:50,662 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.499102065425729e-08
2019-08-18 16:14:50,664 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 1.2983737443631006e-16
2019-08-18 16:14:50,668 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 7.574794888002377e-20
2019-08-18 16:14:50,669 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:50,726 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.2101748941889083e-10
2019-08-18 16:14:50,728 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 6.7216978125047236e-21
2019-08-18 16:14:50,730 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 8.920444472000514e-23
2019-08-18 16:14:50,732 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:50,748 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 2.6526859506785476e-10
